age_match	exposure_type	convexhull_volume	convexhull_area	npoints	iteration	individual
10.5	IH	0.00015341414516623097	0.021116562647017365	10	iter-3	not applicable
15.0	IH	0.00018519264979771603	0.02533666511333272	10	iter-3	not applicable
20.0	IH	0.00028381481681497776	0.03515709205405915	10	iter-3	not applicable
10.0	Air	0.0001875331518151099	0.024564857202769644	10	iter-4	not applicable
10.5	Air	0.0014254988700051238	0.08457695849343906	10	iter-4	not applicable
15.0	Air	0.002607734896102717	0.11591001047954597	10	iter-4	not applicable
20.0	Air	0.0010763837687001714	0.07026870745049904	10	iter-4	not applicable
10.0	IC	0.0006337921616948574	0.07122587970938521	10	iter-4	not applicable
10.5	IC	0.0003746300103716779	0.04410476599810607	10	iter-4	not applicable
15.0	IC	0.00022962446992638537	0.03811872643059865	10	iter-4	not applicable
20.0	IC	0.00021978695986018046	0.03139346800245124	10	iter-4	not applicable
10.0	IH	0.000379336776360851	0.03562200606260457	10	iter-4	not applicable
10.5	IH	0.00029485123116957713	0.028977456357899993	10	iter-4	not applicable
15.0	IH	0.00025660630826557446	0.025877727000295243	10	iter-4	not applicable
20.0	IH	0.00023315310812510015	0.028994945987049582	10	iter-4	not applicable
10.0	Air	0.00021330891728704862	0.023990449473914714	10	iter-5	not applicable
10.5	Air	0.0018501233427528738	0.09598103803594056	10	iter-5	not applicable
15.0	Air	0.0012033721778482323	0.07449145141235984	10	iter-5	not applicable
20.0	Air	0.001462885770459306	0.08283393949947929	10	iter-5	not applicable
10.0	IC	0.00030019962890079675	0.03167620023198972	10	iter-5	not applicable
10.5	IC	0.0002352233687249338	0.03594822221649843	10	iter-5	not applicable
15.0	IC	0.00037944101482791434	0.041760588236789783	10	iter-5	not applicable
20.0	IC	0.00010625114088319019	0.029072384965435613	10	iter-5	not applicable
10.0	IH	0.0015849813713783721	0.11572327422319108	10	iter-5	not applicable
10.5	IH	0.00013745234629156117	0.0203085086039362	10	iter-5	not applicable
15.0	IH	0.00019179762756995955	0.020813995575813246	10	iter-5	not applicable
20.0	IH	0.0002940620101327674	0.03518529017149971	10	iter-5	not applicable
10.0	Air	0.00016131974107916385	0.021604719793498064	10	iter-6	not applicable
10.5	Air	0.001324192917334973	0.0834381530747952	10	iter-6	not applicable
15.0	Air	0.0017806154449637602	0.09646902678812144	10	iter-6	not applicable
20.0	Air	0.0010960586143828456	0.07043555335506757	10	iter-6	not applicable
10.0	IC	0.00034026432368514494	0.038577590789287824	10	iter-6	not applicable
10.5	IC	0.0003618755374813845	0.035676086919250845	10	iter-6	not applicable
15.0	IC	0.00028365137561785496	0.037937714797145666	10	iter-6	not applicable
20.0	IC	0.00015740185519627826	0.025299342286380748	10	iter-6	not applicable
10.0	IH	0.0018314654438100373	0.11791585588512202	10	iter-6	not applicable
10.5	IH	0.00014339605186182276	0.019054154375043528	10	iter-6	not applicable
15.0	IH	0.00020013850406761424	0.02332447571326017	10	iter-6	not applicable
